label,label_id
electrician_fan,0
electrician_washing_machine,1
electrician_kitchen_items,2
electrician_installation,3
electrician_wiring,4
plumber_tap_leakage,5
plumber_pipe_leakage,6
plumber_drain_blockage,7
plumber_toilet_repair,8
plumber_water_pump_repair,9
plumber_bathroom_fitting,10
carpenter_door_repair,11
carpenter_furniture_repair,12
carpenter_cupboard_repair,13
carpenter_bed_repair,14
carpenter_shelf_installation,15
mechanic_brake_repair,16
mechanic_engine_problem,17
mechanic_clutch_problem,18
mechanic_battery_problem,19
mechanic_tyre_puncture,20
driver_airport_transport,21
driver_local_trip,22
driver_outstation_trip,23
driver_parcel_delivery,24
driver_goods_transport,25
